;de;para;distancia
552;43112;38486;2.497
553;43013;43090;1.389
554;43017;38552;1.39
555;43017;43123;1.467
556;43017;43086;1.638
557;43141;43105;3.595
558;43141;47674;2.294
559;43051;43011;0.91
560;43051;43150;1.4
561;43065;43156;5.089
562;43065;45517;2.994
563;43032;38604;1.997
564;43052;38069;1.117
565;43132;43034;2.788
566;43136;43847;0.739
567;43136;44072;1.855
568;43086;43017;1.782
569;43086;47916;0.894
570;43037;28571;1.462
571;43037;45071;0.836
572;43015;43041;3.134
573;43015;44072;2.552
574;43058;43007;1.384
575;43058;43309;1.534
576;43018;15597;1.433
577;43018;43008;1.821
578;43018;43131;1.593
579;43101;28089;2.854
580;43101;43124;2.451
581;43101;43075;1.81
582;43101;50448;1.215
583;43045;43031;1.684
584;43045;43378;1.079
585;43080;43091;0.0
586;42927;42781;0.907
587;42927;43060;1.582
588;43016;42784;2.088
589;43016;48137;1.887
590;43138;38069;1.451
591;43138;38554;1.506
592;43138;43127;1.228
593;43108;38602;1.922
594;43108;43055;1.015
595;43106;43150;0.991
596;42923;47647;0.676
597;43069;28049;1.48
598;43069;38245;2.317
599;43069;38554;1.594
600;43040;43072;1.269
601;43040;43096;0.774
602;43061;29702;1.221
603;43061;43062;1.252
604;43061;43038;1.359
605;43119;43833;1.05
606;43119;47913;2.404
607;43025;43041;1.411
608;43043;5309;2.355
609;43107;38295;1.751
610;43107;43282;2.973
611;43073;45436;1.203
612;42854;43122;1.307
613;42854;43023;1.439
614;43055;43007;1.558
615;43055;43050;0.891
616;43055;43108;1.003
617;43055;47678;0.99
618;43082;28065;1.631
619;43151;43148;1.194
620;43156;28103;2.552
621;43156;43065;5.089
622;43156;45441;1.849
623;43143;4709;1.436
624;43143;43009;1.298
625;43143;47567;1.171
626;43130;44405;1.521
627;43097;43046;0.743
628;43144;43041;1.881
629;43144;44403;1.428
630;43048;43491;1.587
631;43048;43309;1.098
632;43048;43997;1.722
633;43041;43015;3.125
634;43041;43025;1.388
635;43041;43144;1.659
636;43155;43046;1.735
637;43155;44394;1.687
638;43155;47657;0.794
639;43039;44041;1.938
640;43039;44285;1.306
641;43026;43113;1.975
642;43026;43135;1.789
643;43093;28571;2.357
644;43093;43309;0.991
645;43006;15597;2.132
646;43006;43064;1.702
647;43049;43030;1.855
648;43049;42925;2.263
649;43053;9274;2.474
650;43053;43120;3.343
651;43010;43071;1.698
652;43010;44420;0.82
653;43010;44416;1.599
654;43105;43141;2.571
655;43105;47850;2.75
656;43074;43104;3.392
657;43074;47964;3.234
658;43014;47925;2.846
659;43128;28101;0.754
660;43128;43137;1.66
661;43140;13344;1.278
662;43140;28124;1.286
663;43378;43045;0.819
664;43319;42925;0.551
665;43319;48137;0.43
666;43530;32873;1.109
667;43530;35788;0.826
668;43282;38059;0.0
669;43282;43107;1.855
670;43298;43042;0.898
671;43298;44413;1.064
672;43298;47678;1.05
673;43275;44396;1.4
674;43275;44410;1.878
675;43275;44413;2.023
676;43491;43048;1.604
677;43309;43058;1.424
678;43309;43048;1.098
679;43309;43093;0.991
680;43314;44027;1.722
681;43314;44409;1.853
682;43314;44402;2.337
683;43314;47917;0.931
684;43555;9368;6.045
685;43555;28086;1.504
686;43555;42926;4.815
687;43560;38060;1.377
688;43274;44417;1.743
689;43274;44410;0.163
690;43274;47914;2.102
691;43997;43079;217.242
692;43997;43048;1.302
693;43893;28089;3.326
694;43893;38063;1.303
695;43713;36143;4.598
696;43763;43102;1.602
697;43763;44846;1.54
698;43631;28058;2.572
699;43631;43022;2.548
700;43847;13260;2.369
701;43847;43145;2.152
702;43847;43088;1.8
703;43847;43136;0.739
704;43833;43119;1.118
705;43630;28058;1.709
706;43630;44074;0.603
707;44254;9274;3.501
708;44254;43147;2.934
709;44254;43085;0.463
710;44398;38049;1.011
711;44398;43154;2.392
712;44398;44399;1.734
713;44059;28123;1.688
714;44059;48633;1.253
715;44397;38453;2.141
716;44397;45443;2.283
717;44072;43146;1.638
718;44072;43136;2.01
719;44072;43015;2.537
720;44253;28099;1.402
721;44253;45512;1.511
722;44092;38604;0.82
723;44395;28050;1.158
724;44394;43089;1.277
725;44394;43155;1.706
726;44018;17805;1.792
727;44019;9368;1.16
728;44019;17805;4.146
729;44027;43314;1.769
730;44027;44416;1.607
731;44071;43059;2.094
732;44071;48541;1.719
733;44396;43275;1.322
734;44028;43084;1.137
735;44028;44522;1.635
736;44041;43039;1.938
737;44041;45518;2.565
738;44285;3469;0.987
739;44285;43039;1.306
740;44285;46354;0.924
741;44399;43121;1.112
742;44399;44398;1.579
743;44073;43154;0.962
744;44073;44402;1.844
745;44073;50604;1.615
746;44074;43019;0.958
747;44074;43630;0.603
748;44417;43274;1.687
749;44405;43021;1.668
750;44405;43060;1.685
751;44405;43130;1.125
752;44411;38050;1.056
753;44411;43110;1.291
754;44415;47514;2.061
755;44419;28067;1.495
756;44419;38643;2.052
757;44408;42784;1.98
758;44414;6971;1.706
759;44414;45602;1.021
760;44410;43275;1.29
761;44410;43274;0.163
762;44407;43031;1.742
763;44409;43314;1.819
764;44558;8694;1.677
765;44558;28123;1.684
766;44404;16159;0.637
767;44404;47924;0.0
768;44406;9876;1.216
769;44406;38483;1.535
770;44413;43298;0.706
771;44413;43275;1.364
772;44413;47980;0.837
773;44418;38552;1.592
774;44403;28065;1.546
775;44403;43148;1.204
776;44403;43144;1.461
777;44420;43028;1.624
778;44420;43010;0.801
779;44421;28143;1.216
780;44421;43033;1.177
781;44416;42924;1.41
782;44416;43010;1.586
783;44416;44027;1.607
784;44412;3865;1.422
785;44412;28073;0.745
786;44412;43008;1.717
787;44402;43314;2.168
788;44402;44073;1.428
789;44522;44028;1.379
790;44522;47914;1.04
791;45028;32095;1.373
792;44973;38646;1.096
793;44972;28109;1.379
794;45071;43037;0.836
795;44846;3999;0.688
796;44846;43763;1.165
797;44846;47568;2.324
798;45436;43072;1.573
799;45436;43073;1.203
800;45258;43152;1.903
801;45258;45517;3.166
802;45258;45309;5.586
803;45258;45521;3.458
804;45217;28069;2.647
805;45217;45310;2.924
806;45310;28094;1.676
807;45310;42788;2.695
808;45310;45217;1.86
809;45441;43156;1.811
810;45515;45521;3.86
811;45287;43020;0.691
812;45287;43012;1.596
813;45517;28061;2.141
814;45517;43065;2.876
815;45517;45258;3.166
816;45365;28101;1.678
817;45365;43021;2.061
818;45365;43027;2.396
819;45518;38061;3.184
820;45518;44041;2.565
821;45339;28123;0.934
822;45339;38297;1.104
823;45556;45366;1.246
824;45556;45575;1.39
825;45443;44397;2.297
826;45443;47916;2.827
827;45309;45258;5.586
828;45520;45257;6.171
829;45512;43147;1.062
830;45512;44253;1.49
831;45522;28061;3.053
832;45522;45516;5.126
833;45232;28102;0.435
834;45232;43046;1.416
835;45366;28109;1.437
836;45366;45556;1.246
837;45516;45522;5.126
838;45516;45257;4.378
839;45575;43057;0.788
840;45575;45556;1.414
841;45519;43152;1.611
842;45257;45520;6.171
843;45257;45516;4.378
844;45521;45258;3.458
845;45521;45515;3.86
846;45823;38573;2.067
847;45602;43064;1.596
848;45602;44414;1.021
849;45783;43098;2.241
850;45783;43085;0.928
851;46119;3469;0.835
852;46188;38059;1.924
853;46354;3890;3.256
854;46354;44285;1.736
855;46194;43135;1.341
856;46512;28069;2.645
857;46512;47568;2.541
858;46500;47964;1.832
859;46567;43087;2.639
860;47567;43011;1.613
861;47567;43143;1.694
862;47514;28111;1.314
863;47514;44415;2.017
864;47514;50966;0.602
865;47515;3866;3.068
866;47515;35754;2.997
867;47515;42790;2.69
868;47565;38249;1.86
869;47565;47850;2.683
870;47569;29777;2.069
871;47569;43129;1.253
872;47570;28117;3.05
873;47570;38513;2.661
874;47566;28042;1.13
875;47566;48633;0.994
876;47568;44846;2.809
877;47568;46512;3.345
878;47919;28107;0.0
879;47916;28044;1.581
880;47916;43086;1.076
881;47916;45443;2.297
882;47880;43070;0.723
883;47880;43047;1.897
884;47921;32094;0.494
885;47921;48186;0.786
886;47920;17805;0.0
887;47918;12229;0.0
888;47674;42787;2.417
889;47674;43141;1.834
890;47964;3961;2.541
891;47964;43153;4.34
892;47964;43074;2.935
893;47964;46500;3.104
894;47850;43105;2.543
895;47850;47565;2.845
896;47923;36143;0.034
897;47925;9274;2.355
898;47925;28566;2.895
899;47925;43014;2.736
900;47915;43102;0.0
901;47647;3887;0.809
902;47647;42923;0.783
903;47678;43055;1.187
904;47678;43298;1.05
905;47914;43274;2.115
906;47914;44522;0.629
907;47980;28102;1.598
908;47980;44413;0.769
909;47913;3961;3.522
910;47913;43116;1.582
911;47913;43119;2.235
912;47657;43155;0.628
913;47803;43027;2.146
914;47673;42853;1.346
915;47922;3891;0.0
916;47922;13252;2.208
917;47924;44404;0.0
918;47865;28066;0.109
919;47865;42788;2.178
920;47917;43314;0.931
921;48063;32873;0.0
922;48063;43139;1.712
923;48137;43016;1.717
924;48137;43319;0.444
925;48186;32498;0.696
926;48186;47921;0.813
927;48660;28131;1.201
928;48660;28043;1.316
929;48541;43113;1.679
930;48541;44071;1.719
931;48633;44059;1.246
932;48633;47566;0.883
933;49473;32494;3.095
934;49473;38459;1.237
935;49473;43092;3.016
936;49313;43126;1.261
937;49313;43090;1.171
938;49059;38603;1.654
939;49153;38062;1.347
940;49153;43098;3.494
941;50966;43083;0.69
942;50966;47514;0.602
943;50604;44073;1.894
944;50448;28566;2.896
945;50448;43101;1.908
946;1633;32090;1.251
947;1633;43005;1.147
