;index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det;lat_corrigida;long_corrigida;endereco_google
368;32714;44074;3738647;-236.085.891.723.626;-46.452.577.114.103.800;AMA UBS INTEGRADA JD DA CONQUISTA III;TV AV SOMOS TODOS IGUAIS;330;JD DA CONQUISTA;27367092;8343000.0;SP;São Paulo;2016;5;-23.6082096;-46.4501764;Tv. Somos Todos Iguais, 330 - Jardim da Conquista, São Paulo - SP, 08343-000, Brazil
369;32725;44417;4050185;-23.567.386.499.999.900;-4.657.038.318.211.270;AMA UBS INTEGRADA J ALFREDO;RUA DINAR;51;JARDIM ALFREDO;(11)55146355;4913120.0;SP;São Paulo;2016;5;-23.6812763;-46.7383655;Rua Dinar, 51 - Jardim das Flores, São Paulo - SP, Brazil
370;32726;44405;4049993;-23.517.640.829.085.600;-465.060.067.176.805;AMA UBS INTEGRADA J POPULAR DR MATHEUS SANTAMARIA;AV JAIME TORRES;600;JARDIM POPULAR;(11)2791.6421;3670000.0;SP;São Paulo;2016;5;-23.5178091;-46.5062691;Av. Jaime Torres, 600 - Jardim Popular, São Paulo - SP, 03671-100, Brazil
371;32731;44411;4050061;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS RIO CLARO;CINIRA POLONIO RUA;33;JD RIO CLARO;(11)22534307;8395320.0;SP;São Paulo;2016;5;-23.6215369;-46.4573672;R. Cinira Polônio, 33 - Conj. Promorar Rio Claro, São Paulo - SP, 08395-320, Brazil
372;32807;44415;4050134;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS J N SRA DO CARMO;RUA VERISSIMO DA SILVA;723;JD N SRA DO CARMO;(11)27485103;8275270.0;SP;São Paulo;2016;5;-23.5777793;-46.4812593;R. Veríssimo da Silva, 723 - Jardim Nossa Sra. do Carmo, São Paulo - SP, 08275-270, Brazil
373;32855;44419;4050215;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS V SANTANA;RUA VITOR JOSE DE CASTRO;84;VILA SANTANA;(11)20513962;8240300.0;SP;São Paulo;2016;5;-23.523816;-46.4473999;Rua Vítor José de Castro, 84 - Jardim Norma, São Paulo - SP, 08240-305, Brazil
374;32913;44408;4050029;-235.303.008.556.359;-46.459.143.161.772.200;UBS V REGINA;RUA CATARINA LOPES;450;ITAQUERA;(11)22056003;8225000.0;SP;São Paulo;2016;5;-23.5303521;-46.4590332;R. Catarina Lopes, 450 - Itaquera, São Paulo - SP, 08225-000, Brazil
375;32918;44414;4050126;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS V RAMOS DR LUIS AUGUSTO DE CAMPOS;AVN AUGUSTO ANTUNES;1631;LIMOEIRO;(11)20526945;8235630.0;SP;São Paulo;2016;5;-23.5208112;-46.4640666;Av. Augusto Antunes, 1631 - Limoeiro, São Paulo - SP, 08051-370, Brazil
376;32925;44410;4050053;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS CHACARA SANTANA;RUA BALTAZAR DE SA;383;CHACARA SANTANA;(11) 55146448;5831030.0;SP;São Paulo;2016;5;-23.6715991;-46.7470553;R. Baltazar de Sá, 383 - Chácara Santana, São Paulo - SP, 05831-030, Brazil
377;32926;44407;4050010;-23.545.675.277.709.300;-46.415.712.833.403.200;UBS GUAIANASES II;RUA COMANDANTE CARLOS RUHL;189;GUAIANASES;(11)25544064;8410120.0;SP;São Paulo;2016;5;-23.5455579;-46.4155018;R. Cmte. Carlos Ruhl, 189 - Vila Princesa Isabel, São Paulo - SP, 08410-130, Brazil
